ROI;Condition;Subject;Depth;PSC
V2;CD;6;10;-2.3673159072231176
V3;PD;0;0;-0.43446324729208174
V3;PD;0;1;-0.4453971660629775
V3;PD;0;2;-0.5047214248150635
V3;PD;0;3;-0.6209948130704263
V3;PD;0;4;-0.7815438148481603
V3;PD;0;5;-0.9863263131470361
V3;PD;0;6;-1.2726306443058726
V3;PD;0;7;-1.624333665112777
V3;PD;0;8;-2.0381382515779434
V3;PD;0;9;-2.4452846981417413
V3;PD;0;10;-2.5987596409410574
V3;PD;1;0;-0.6808478509152693
V3;PD;1;1;-0.7676251205222206
V3;PD;1;2;-0.9964935438867439
V3;PD;1;3;-1.2345097609671138
V3;PD;1;4;-1.433472672626397
V3;PD;1;5;-1.6191202624008108
V3;PD;1;6;-1.846194933038726
V3;PD;1;7;-2.124525996661477
V3;PD;1;8;-2.500467361626295
V3;PD;1;9;-2.8734389142662042
V3;PD;1;10;-3.043754449963415
V3;PD;2;0;-0.0025388162981826896
V3;PD;2;1;-0.025111579421385796
V3;PD;2;2;-0.0689236917557869
V3;PD;2;3;-0.14417231460469576
V3;PD;2;4;-0.23514047836176746
V3;PD;2;5;-0.3241706174430558
V3;PD;2;6;-0.39205623520486144
V3;PD;2;7;-0.4329365898439814
V3;PD;2;8;-0.42946836746382566
V3;PD;2;9;-0.42546495816902563
V3;PD;2;10;-0.4640019179865284
V3;PD;3;0;-0.5502972720059631
V3;PD;3;1;-0.6281941305597903
V3;PD;3;2;-0.744637103843785
V3;PD;3;3;-0.8130351704253759
V3;PD;3;4;-0.8508630297986565
V3;PD;3;5;-0.866898104511682
V3;PD;3;6;-0.8816856776887861
V3;PD;3;7;-0.8866267054102182
V3;PD;3;8;-0.9042297489407716
V3;PD;3;9;-0.9736320421452344
V3;PD;3;10;-1.0610279450384987
V3;PD;4;0;-0.529273842827769
V3;PD;4;1;-0.6260209920884026
V3;PD;4;2;-0.8143620678095304
V3;PD;4;3;-1.0477412000032758
V3;PD;4;4;-1.3061360564486173
V3;PD;4;5;-1.6015226066821908
V3;PD;4;6;-1.9890057084422588
V3;PD;4;7;-2.4700678957139273
V3;PD;4;8;-3.099970476899253
V3;PD;4;9;-3.72489359825308
V3;PD;4;10;-4.043387080187237
V3;PD;5;0;-0.2952434084994882
V3;PD;5;1;-0.33512345645356784
V3;PD;5;2;-0.4440072740251295
V3;PD;5;3;-0.5686127076372863
V3;PD;5;4;-0.7028357132955005
V3;PD;5;5;-0.827869321357157
V3;PD;5;6;-0.9221050739802146
V3;PD;5;7;-0.9982739953254123
V3;PD;5;8;-1.0558850429483864
V3;PD;5;9;-1.0966861843690205
V3;PD;5;10;-1.1255747798897673
V3;PD;6;0;-0.05992281732625184
V3;PD;6;1;-0.05762725094400707
V3;PD;6;2;-0.08034165062842752
V3;PD;6;3;-0.14043932094528552
V3;PD;6;4;-0.20705587370302653
V3;PD;6;5;-0.25062945356559513
V3;PD;6;6;-0.2727546748236024
V3;PD;6;7;-0.26535940351001214
V3;PD;6;8;-0.2462707653795711
V3;PD;6;9;-0.18648599588876508
V3;PD;6;10;-0.11291866783420385
V3;PS;0;0;-0.6701064892167317
V3;PS;0;1;-0.7529548791064407
V3;PS;0;2;-0.9372503746544181
V3;PS;0;3;-1.1793411279608605
V3;PS;0;4;-1.447653887351475
V3;PS;0;5;-1.7406273905334932
V3;PS;0;6;-2.0837995493536448
V3;PS;0;7;-2.4587057570915523
V3;PS;0;8;-2.880205055676505
V3;PS;0;9;-3.3354902190385167
V3;PS;0;10;-3.530988435319995
V3;PS;1;0;-0.686731241129418
V3;PS;1;1;-0.8165410447206719
V3;PS;1;2;-1.0379422794885333
V3;PS;1;3;-1.2585280323734345
V3;PS;1;4;-1.4845110525163463
V3;PS;1;5;-1.7278443081151151
V3;PS;1;6;-2.0199758922096986
V3;PS;1;7;-2.3522516371414626
V3;PS;1;8;-2.7590163817524473
V3;PS;1;9;-3.143668571216698
V3;PS;1;10;-3.309408488350339
V3;PS;2;0;-0.5606835252420516
V3;PS;2;1;-0.6113191865747812
V3;PS;2;2;-0.6957029184237643
V3;PS;2;3;-0.78951481846619
V3;PS;2;4;-0.8921466652139667
V3;PS;2;5;-0.9955026459827729
V3;PS;2;6;-1.0822332220618132
V3;PS;2;7;-1.146926063451956
V3;PS;2;8;-1.1834314826463364
V3;PS;2;9;-1.2133592683011123
V3;PS;2;10;-1.2752424951017147
V3;PS;3;0;-0.5794292748381621
V3;PS;3;1;-0.6715536911508684
V3;PS;3;2;-0.8274607081781655
V3;PS;3;3;-0.9574112918731391
V3;PS;3;4;-1.0558675030094438
V3;PS;3;5;-1.1423704145067037
V3;PS;3;6;-1.244907594033229
