ROI;Condition;Subject;Depth;PSC
V2;CD;6;5;-2.04192963547995
V2;CD;6;6;-2.2164464169326363
V2;CD;6;7;-2.3346552157702547
V2;CD;6;8;-2.386418233262565
V2;CD;6;9;-2.3857292037236326
V2;CD;6;10;-2.3975178524831513
V3;PD;0;0;-0.48804756358871715
V3;PD;0;1;-0.507614329931763
V3;PD;0;2;-0.5892486114305263
V3;PD;0;3;-0.7210188032548774
V3;PD;0;4;-0.8878239535117517
V3;PD;0;5;-1.0927553079927663
V3;PD;0;6;-1.376681263235206
V3;PD;0;7;-1.727249001528369
V3;PD;0;8;-2.15167206404374
V3;PD;0;9;-2.552444254699847
V3;PD;0;10;-2.691874130704788
V3;PD;1;0;-0.8274867166302112
V3;PD;1;1;-0.9232198827696073
V3;PD;1;2;-1.1445145217134467
V3;PD;1;3;-1.3704360187011335
V3;PD;1;4;-1.573923961091558
V3;PD;1;5;-1.791880441248245
V3;PD;1;6;-2.0898037451313676
V3;PD;1;7;-2.453462080507357
V3;PD;1;8;-2.8922808396314
V3;PD;1;9;-3.287569438568046
V3;PD;1;10;-3.4383465065945105
V3;PD;2;0;-0.09828478146182636
V3;PD;2;1;-0.10522091810131134
V3;PD;2;2;-0.10456203164658963
V3;PD;2;3;-0.11780602782122748
V3;PD;2;4;-0.14288885963263537
V3;PD;2;5;-0.1582313755492212
V3;PD;2;6;-0.15758021408601267
V3;PD;2;7;-0.13538663344520468
V3;PD;2;8;-0.08442837941134196
V3;PD;2;9;-0.058525286107596386
V3;PD;2;10;-0.07554834942634214
V3;PD;3;0;-0.5593285279502209
V3;PD;3;1;-0.633915397664943
V3;PD;3;2;-0.7462912633852453
V3;PD;3;3;-0.8118056918828181
V3;PD;3;4;-0.8546415278196831
V3;PD;3;5;-0.8843382674982603
V3;PD;3;6;-0.9240882354272728
V3;PD;3;7;-0.9609529294572438
V3;PD;3;8;-1.013678648268034
V3;PD;3;9;-1.116896697738403
V3;PD;3;10;-1.2140851295496105
V3;PD;4;0;-0.5352147845231344
V3;PD;4;1;-0.629623688206208
